video_name,label,recce_pred_mean,effort_pred_mean,xception_pred_mean,clip_base_pred_mean,ucf_pred_mean,spsl_pred_mean
c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0,0.028823107,0.927117,0.21214661,0.18299934,0.041435003,0.15223569
arnold_schwarzenegger_1,1,0.8889795,0.9781511,0.88640773,0.99961054,0.9688418,0.99413043
arnold_schwarzenegger_2,1,0.9223354,0.9853583,0.8701039,0.9999044,0.69056094,0.9939748
29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0,0.0038692309,0.70790505,0.1590651,0.98941493,0.017417561,0.19934566
c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0,0.018306546,0.13295645,0.02186761,0.18655068,0.0055758576,0.8834778
ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0,0.030723559,0.78018606,0.13538235,0.9797503,0.00818499,0.34009483
eb3680da049bc6cb92a483a917a03449_1920x1080_30,0,0.13888419,0.66417366,0.34221324,0.99907225,0.389225,0.70316994
a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0,0.2066243,0.614095,0.3350496,0.9907838,0.015690986,0.27356613
salma_hayek_2,1,0.992525,0.98615503,0.9965793,0.9999972,0.99967337,0.9904964
usher_2,1,0.99989164,0.90573853,0.9995505,0.9995327,0.999604,0.99874115
talyor_swift_2,1,0.8692115,0.9841411,0.96513575,0.9999962,0.8809937,0.9166759
nicole_kidman_3,1,0.99965,0.99621326,0.99928504,0.9999874,0.99962795,0.9998311
lee_ji_eun_2,1,0.9994661,0.98992074,0.9982465,0.9996868,0.99942636,0.9943417
chris_evans_3,1,0.6913727,0.95762014,0.9940906,0.9999951,0.9991699,0.9894145
facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0,0.1031989,0.44759774,0.44503722,0.5237452,0.39793128,0.477441
c67611cc32af5603f4f501e65b77c886_1080x1920_30,0,0.002591371,0.24230173,0.02104401,0.06317671,0.0014950822,0.10433201
c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0,0.23573327,0.53328717,0.25922745,0.6124379,0.31542647,0.37225425
b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0,0.14307058,0.39526695,0.3018811,0.95255333,0.15112126,0.61374444
bruce_willis_3,1,0.9986525,0.9763412,0.96155024,0.9999976,0.9992314,0.9986106
8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0,0.11335956,0.94895613,0.13304034,0.58318543,0.14180885,0.44309086
will_smith_3,1,0.86350644,0.93682307,0.967934,0.9952309,0.94250476,0.86282814
8090e541f25d87d35507d7e12500c95c_1920x1080_30,0,0.2682525,0.54540265,0.20707437,0.3667827,0.42716736,0.4886254
salma_hayek_1,1,0.99935824,0.99290735,0.99801326,0.999997,0.999539,0.9995682
anna_taylor_joy_2,1,0.68925935,0.38975918,0.42039365,0.8574163,0.2405005,0.7059085
9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0,0.030129962,0.3609472,0.37887943,0.714406,0.5947058,0.8949119
chris_evans_2,1,0.99837255,0.98434746,0.9935961,0.99986744,0.9992586,0.9968928
nicole_kidman_2,1,0.99558604,0.99088675,0.99926615,0.99992967,0.9996265,0.99246323
tian_yiming_2,1,0.99308395,0.9413496,0.9927808,0.999625,0.9871987,0.9896983
salma_hayek_3,1,0.9992039,0.9803748,0.98130333,0.99993503,0.9993658,0.9972676
92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0,0.047456723,0.4330116,0.110319495,0.019427937,0.02066665,0.19669837
91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0,0.16554527,0.7019142,0.13257733,0.5367567,0.13751143,0.23988849
8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0,0.009588201,0.5223892,0.037706643,0.22568813,0.0149252,0.35191265
3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0,0.3029319,0.9561229,0.4704004,0.94514716,0.014028096,0.75719136
218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0,0.019616537,0.39503038,0.1349341,0.0063833417,0.010837331,0.7959907
31ce85afe440564f525a418ec16340bc_1920x1080_30,0,0.27446336,0.66566795,0.60001785,0.101423115,0.14646292,0.61447084
lucy_liu_1,1,0.99870056,0.983986,0.9995481,0.9999953,0.99919105,0.9975604
arnold_schwarzenegger_3,1,0.99898195,0.9760616,0.99982846,0.99841034,0.99973327,0.9990544
0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0,0.16177312,0.3959303,0.42625532,0.2208401,0.056308042,0.73965245
fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0,0.6892594,0.38975918,0.42039365,0.8574163,0.2405005,0.7059085
2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0,0.12599927,0.35244673,0.20811352,0.67859447,0.021300942,0.85763305
e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0,0.51147354,0.8236766,0.76140904,0.9996847,0.18342282,0.88101715
lee_ji_eun_1,1,0.98796177,0.9688252,0.99725723,0.9999941,0.9994405,0.9957185
d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0,0.19318035,0.74612564,0.14065671,0.05059564,0.027280934,0.50464
be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0,0.4811346,0.5080324,0.818164,0.015900314,0.19007367,0.81588364
usher_1,1,0.99989814,0.98944616,0.9998184,0.999478,0.9997435,0.99949837
f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0,0.15397634,0.5804136,0.028476078,0.9387231,0.025140671,0.4048134
nicole_kidman_1,1,0.9999685,0.9949065,0.9999646,0.9999865,0.9997115,0.99980915
usher_3,1,0.9736458,0.92632246,0.9233731,0.9999747,0.98399633,0.9606526
lucy_liu_3,1,0.7478653,0.9687227,0.9387265,0.98080003,0.8908696,0.94167066
ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0,0.09032196,0.66253495,0.19086458,0.4254253,0.492467,0.98194116
tian_yiming_1,1,0.999913,0.97003686,0.9994501,0.9997446,0.9995144,0.99890757
anna_taylor_joy_1,1,0.9732638,0.9915089,0.9922683,0.99842685,0.9982442,0.9610872
tian_yiming_3,1,0.9833173,0.95721495,0.9819398,0.96248317,0.9770881,0.9874194
db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0,0.07796494,0.3364721,0.11075327,0.3175277,0.0036097276,0.41781947
af5d2889657072d100b0b08f27719568_1920x1080_30,0,0.07176741,0.73282254,0.13718092,0.38976806,0.16403192,0.9353157
zoe_saldana_2,1,0.99943787,0.97955275,0.9878818,0.99998796,0.9995746,0.9461911
nile_red_1,1,0.9998996,0.99393916,0.99993384,0.99881303,0.9993468,0.9994036
fda953f258d38f3368f4c8fdc774756e_1920x1080_30,0,0.8024148,0.78651315,0.92251134,0.36373168,0.9601945,0.95484567
talyor_swift_1,1,0.98803055,0.98248863,0.9923498,0.9974263,0.99724555,0.99782264
lucy_liu_2,1,0.725721,0.9876323,0.8806066,0.9999343,0.7757025,0.9471399
bruce_willis_2,1,0.9498445,0.9635215,0.94401073,0.9995295,0.9940067,0.9965527
a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0,0.036197923,0.80342627,0.06387593,0.12882836,0.08655392,0.12915802
d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0,0.18837436,0.3892801,0.21285722,0.8235619,0.18096034,0.42572728
9bd3195d97edad5f200b325825dbb729_1920x1080_30,0,0.0014991262,0.361385,0.024311762,0.98782843,0.0031325514,0.23094243
zoe_saldana_1,1,0.48133576,0.98184264,0.9818962,0.999712,0.8167719,0.7563384
